ticker,name,current_price,wacc,rf,tax_rate,scenario,dcf_price
COL.AX,Coles Group Limited,21.34000015258789,0.05212965656990284,0.04,0.2975260416666667,conservative_price,20.662340769065306
BBY,"Best Buy Co., Inc.",69.18000030517578,0.09964822893891685,0.04,0.28725868725868725,conservative_price,38.09517455755715
WMT,Walmart Inc.,112.76000213623047,0.0757216407563241,0.04,0.23383632977308144,conservative_price,23.532730880636112
WOW.AX,Woolworths Group Limited,29.43000030517578,0.04446582422401918,0.04,0.3064046579330422,conservative_price,32.25281141415831
TCO0.DE,Tesco PLC,5.099999904632568,0.06503168981471782,0.04,0.27584650112866815,conservative_price,7.661349725753496
MQG.AX,Macquarie Group Limited,203.72999572753906,0.047004715872469384,0.04,0.2616416732438832,conservative_price,35.13840796115852
COL.AX,Coles Group Limited,21.34000015258789,0.05212965656990284,0.04,0.2975260416666667,base_price,22.582430896979755
BBY,"Best Buy Co., Inc.",69.18000030517578,0.09964822893891685,0.04,0.28725868725868725,base_price,33.490407965038315
WMT,Walmart Inc.,112.76000213623047,0.0757216407563241,0.04,0.23383632977308144,base_price,26.3635371557529
WOW.AX,Woolworths Group Limited,29.43000030517578,0.04446582422401918,0.04,0.3064046579330422,base_price,35.737513311650524
TCO0.DE,Tesco PLC,5.099999904632568,0.06503168981471782,0.04,0.27584650112866815,base_price,8.36520204530043
MQG.AX,Macquarie Group Limited,203.72999572753906,0.047004715872469384,0.04,0.2616416732438832,base_price,32.61424873352465
COL.AX,Coles Group Limited,21.34000015258789,0.05212965656990284,0.04,0.2975260416666667,optimistic_price,24.615442039457324
BBY,"Best Buy Co., Inc.",69.18000030517578,0.09964822893891685,0.04,0.28725868725868725,optimistic_price,29.312719801055138
WMT,Walmart Inc.,112.76000213623047,0.0757216407563241,0.04,0.23383632977308144,optimistic_price,29.428785088218383
WOW.AX,Woolworths Group Limited,29.43000030517578,0.04446582422401918,0.04,0.3064046579330422,optimistic_price,39.44215543539115
TCO0.DE,Tesco PLC,5.099999904632568,0.06503168981471782,0.04,0.27584650112866815,optimistic_price,9.113534091753438
MQG.AX,Macquarie Group Limited,203.72999572753906,0.047004715872469384,0.04,0.2616416732438832,optimistic_price,30.10024301392872
